patient,weight,acc,n_cal,n_test
patient46,100.0,0.8803418803418803,432,117
patient46,1000.0,0.8803418803418803,432,117
patient47,0.0,0.9572649572649573,432,117
patient47,1.0,0.8974358974358975,432,117
patient47,10.0,0.9658119658119658,432,117
patient47,100.0,0.9658119658119658,432,117
patient47,1000.0,0.9658119658119658,432,117
patient48,0.0,0.8461538461538461,432,117
patient48,1.0,0.7264957264957265,432,117
patient48,10.0,0.8888888888888888,432,117
patient48,100.0,0.9145299145299145,432,117
patient48,1000.0,0.8888888888888888,432,117
