cal_per_gesture,patient,n_cal,n_test,lda_acc,po_hgb_acc,gm_cal_acc
12,patient26,144,117,0.8034188034188035,0.7350427350427351,0.6581196581196581
12,patient27,144,117,0.6495726495726496,0.6324786324786325,0.9230769230769231
12,patient28,144,117,0.9316239316239316,0.9658119658119658,0.8888888888888888
12,patient29,144,117,0.811965811965812,0.8461538461538461,0.7350427350427351
12,patient30,144,117,0.8974358974358975,0.8376068376068376,0.7948717948717948
12,patient31,144,117,0.5811965811965812,0.8290598290598291,0.8034188034188035
12,patient32,144,117,0.8974358974358975,0.7692307692307693,0.7521367521367521
12,patient33,144,117,0.7350427350427351,0.7606837606837606,0.6837606837606838
12,patient34,144,117,0.7606837606837606,0.8888888888888888,0.9230769230769231
12,patient35,144,117,0.6923076923076923,0.7264957264957265,0.7692307692307693
12,patient36,144,117,0.7264957264957265,0.6495726495726496,0.6495726495726496
12,patient37,144,117,0.8632478632478633,0.9829059829059829,0.9658119658119658
12,patient38,144,117,0.9487179487179487,0.9316239316239316,0.7264957264957265
12,patient39,144,117,0.6666666666666666,0.8974358974358975,0.7606837606837606
12,patient40,144,117,0.8974358974358975,0.8803418803418803,0.7863247863247863
12,patient41,144,117,0.6837606837606838,0.7264957264957265,0.811965811965812
12,patient42,144,117,0.9145299145299145,0.9914529914529915,0.9572649572649573
12,patient43,144,117,0.8547008547008547,0.8974358974358975,0.8376068376068376
12,patient44,144,117,0.9230769230769231,0.9401709401709402,0.8632478632478633
12,patient45,144,117,0.8461538461538461,0.8974358974358975,0.8547008547008547
12,patient46,144,117,0.7008547008547008,0.7435897435897436,0.905982905982906
12,patient47,144,117,0.9145299145299145,0.9316239316239316,0.9145299145299145
12,patient48,144,117,0.6324786324786325,0.7948717948717948,0.8034188034188035
24,patient1,288,117,0.8205128205128205,0.7863247863247863,0.8290598290598291
24,patient2,288,117,0.7094017094017094,0.7521367521367521,0.7350427350427351
24,patient3,288,117,0.9316239316239316,0.6666666666666666,0.6666666666666666
24,patient4,288,117,0.9487179487179487,0.8803418803418803,0.9487179487179487
24,patient5,288,117,0.7606837606837606,0.905982905982906,0.9230769230769231
24,patient6,288,117,0.7692307692307693,0.7777777777777778,0.8461538461538461
24,patient7,288,117,0.9487179487179487,0.9487179487179487,0.8888888888888888
24,patient8,288,117,0.9829059829059829,1.0,0.9914529914529915
24,patient9,288,117,0.9572649572649573,0.9230769230769231,0.9487179487179487
24,patient10,288,117,0.7777777777777778,0.8205128205128205,0.7521367521367521
24,patient11,288,117,0.717948717948718,0.7264957264957265,0.7264957264957265
24,patient12,288,117,0.9658119658119658,0.9829059829059829,0.8290598290598291
24,patient13,288,117,1.0,1.0,1.0
24,patient14,288,117,0.7094017094017094,0.7521367521367521,0.7264957264957265
24,patient15,288,117,0.905982905982906,0.9658119658119658,0.9914529914529915
24,patient16,288,117,0.9401709401709402,0.9316239316239316,0.9487179487179487
24,patient17,288,117,0.7521367521367521,0.9658119658119658,0.9230769230769231
24,patient18,288,117,0.6581196581196581,0.8888888888888888,0.8717948717948718
24,patient19,288,117,0.6837606837606838,0.8632478632478633,0.8717948717948718
24,patient20,288,117,0.8547008547008547,0.8034188034188035,0.9487179487179487
24,patient21,288,117,0.8717948717948718,0.9743589743589743,0.9658119658119658
